Job name ; Cluster 0 ; Cluster 1 ; Cluster 2 ; Cluster 3 ; Cluster 4 ; Cluster 5 ; Cluster 6 ; Cluster 7
Job280 ; 4.999989271e-003 ; 6.999999285e-003 ; 0. ; 5.000001192e-003 ; 0. ; 5.000001192e-003 ; 9.000000358e-003 ; 0.
Job56 ; 1.499992609e-003 ; 7.500004768e-003 ; 0. ; 5.500006676e-003 ; 0. ; 5.500006676e-003 ; 9.500005841e-003 ; 0.
Job282 ; 1.74998641e-003 ; 7.749998569e-003 ; 0. ; 5.750000477e-003 ; 0. ; 5.750000477e-003 ; 7.749998569e-003 ; 0.
Job60 ; 0. ; 8.500003815e-003 ; 0. ; 6.500005722e-003 ; 0. ; 6.500005722e-003 ; 8.500003815e-003 ; 0.
Job58 ; 0. ; 9.250003099e-003 ; 0. ; 7.250005007e-003 ; 0. ; 7.250005007e-003 ; 3.250002861e-003 ; 0.
Job193 ; 0. ; 1.000000238e-002 ; 0. ; 8.000004292e-003 ; 0. ; 8.000004292e-003 ; 0. ; 0.
Job59 ; 0. ; 1.025000215e-002 ; 0. ; 8.250004053e-003 ; 0. ; 6.25000596e-003 ; 0. ; 0.
Job57 ; 0. ; 1.075000167e-002 ; 0. ; 8.750003576e-003 ; 0. ; 6.750005484e-003 ; 0. ; 0.
Job283 ; 0. ; 1.125000119e-002 ; 0. ; 9.250003099e-003 ; 0. ; 7.250005007e-003 ; 0. ; 0.
Job61 ; 0. ; 1.200000048e-002 ; 0. ; 1.000000238e-002 ; 0. ; 8.000004292e-003 ; 0. ; 0.
Job284 ; 0. ; 1.225000024e-002 ; 2.499997616e-004 ; 1.025000215e-002 ; 0. ; 8.250004053e-003 ; 0. ; 3.12499702e-004
Job143 ; 0. ; 1.25e-002 ; 4.999995232e-004 ; 1.050000191e-002 ; 0. ; 8.500003815e-003 ; 0. ; 6.24999404e-004
Job144 ; 0. ; 8.999997377e-003 ; 9.999990463e-004 ; 1.100000143e-002 ; 0. ; 9.000003338e-003 ; 0. ; 1.249998808e-003
Job145 ; 0. ; 3.749996424e-003 ; 1.749998331e-003 ; 1.175000072e-002 ; 0. ; 9.750002623e-003 ; 0. ; 2.187497914e-003
Job194 ; 0. ; 2.499938011e-004 ; 2.249997854e-003 ; 1.225000024e-002 ; 0. ; 1.025000215e-002 ; 0. ; 2.812497318e-003
Job285 ; 0. ; 4.999935627e-004 ; 2.499997616e-003 ; 1.050000191e-002 ; 0. ; 1.050000191e-002 ; 0. ; 3.12499702e-003
Job62 ; 0. ; 7.499933243e-004 ; 2.749997377e-003 ; 8.750003576e-003 ; 0. ; 1.075000167e-002 ; 0. ; 3.437496722e-003
Job196 ; 0. ; 9.999930859e-004 ; 2.999997139e-003 ; 9.000003338e-003 ; 0. ; 9.000003338e-003 ; 0. ; 3.749996424e-003
Job197 ; 0. ; 1.249992847e-003 ; 3.249996901e-003 ; 7.250005007e-003 ; 0. ; 9.250003099e-003 ; 0. ; 4.062496126e-003
Job195 ; 0. ; 1.499992609e-003 ; 3.499996662e-003 ; 5.500006676e-003 ; 0. ; 9.500002861e-003 ; 0. ; 4.374995828e-003
